000401.SZ,冀东水泥,水泥,21,2408159.84,12.03,1.73,12.97,34.91,4.4,-11.89,-32.95
002030.SZ,达安基因,生物制药,19,3417473.23,21.95,13.14,70.1,67.41,0.86,313.63,1186.48
603338.SH,浙江鼎力,专用机械,65,5251799.87,64.28,15.0,24.38,38.13,1.86,76.87,56.96
000540.SZ,中天金融,多元金融,20,2362883.9,18.13,1.29,7.22,32.96,5.69,-33.33,-46.33
000785.SZ,居然之家,百货,26,5159697.39,63.43,3.59,5.42,35.46,-1.32,-8.1,-57.57
600966.SH,博汇纸业,造纸,20,1678957.45,31.42,3.03,9.89,17.54,3.89,41.78,102.88
000488.SZ,晨鸣纸业,造纸,20,5396120.25,52.25,0.91,4.12,25.11,15.29,1.88,1.28
600737.SH,中粮糖业,食品,48,1939874.0,22.63,2.3,10.39,13.53,4.62,35.82,43.28
600160.SH,巨化股份,化工原料,103,1790378.23,568.33,1.48,0.25,8.36,15.02,-8.4,-97.77
600160.SH,巨化股份,化工原料,103,1790378.23,568.33,1.48,0.25,8.36,15.02,-8.4,-97.77
600026.SH,中远海能,水运,10,3236319.07,5.57,0.98,18.19,37.49,1.12,36.77,520.04
601872.SH,招商轮船,水运,10,4056271.48,6.66,1.47,23.06,34.72,1.14,28.01,378.92
002301.SZ,齐心集团,文教休闲,13,1099784.59,29.82,3.14,10.77,13.29,0.27,41.06,31.2
002390.SZ,信邦制药,中成药,53,1199366.48,167.75,2.34,1.49,19.51,12.0,-17.55,-70.53
002603.SZ,以岭药业,中成药,53,3295010.08,23.07,3.96,17.46,62.19,2.51,50.35,57.05
600566.SH,济川药业,中成药,53,1873259.83,13.68,1.62,23.03,82.64,3.51,-24.46,-28.94
600166.SH,福田汽车,汽车整车,15,1957330.67,54.56,1.28,2.35,12.2,27.35,4.44,-28.09
000800.SZ,一汽解放,汽车整车,15,5416020.83,12.6,2.25,26.8,11.45,3.95,16.08,19.75
601225.SH,陕西煤业,煤炭开采,24,1099960.27,8.98,1.52,16.8,33.71,0.88,18.87,-15.08
002440.SZ,闰土股份,染料涂料,10,1107871.39,14.76,1.28,8.56,26.28,3.2,-30.69,-54.64
600352.SH,浙江龙盛,染料涂料,10,4706237.17,10.37,1.81,17.76,41.76,0.82,-21.29,-10.36
000596.SZ,古井贡酒,白酒,15,10397077.5,50.72,11.31,22.58,76.2,2.28,-7.82,-17.89
600519.SH,贵州茅台,白酒,15,213453096.11,47.22,15.55,33.09,91.46,0.56,11.31,13.29
601615.SH,明阳智能,机械基件,43,2545635.42,23.99,3.62,14.89,21.74,6.07,107.24,58.95
600323.SH,瀚蓝环境,水务,11,2066724.39,22.42,3.01,13.66,29.57,1.2,17.43,0.02
000598.SZ,兴蓉环境,水务,11,1555094.6,11.73,1.32,11.59,44.37,1.31,10.5,11.42
000807.SZ,云铝股份,铝,14,1702956.93,35.0,1.57,4.41,12.62,8.58,11.28,51.38
000627.SZ,天茂集团,保险,6,2526374.88,24.27,1.27,4.95,nan,23.84,-18.62,-30.39
600064.SH,南京高科,园区开发,13,1368967.3,4.81,1.08,23.25,40.14,-0.79,172.11,19.11
603993.SH,洛阳钼业,小金属,24,8384210.51,41.6,2.07,4.94,1.5,4.19,368.44,24.73
002978.SZ,安宁股份,小金属,24,1418005.79,20.05,4.03,23.1,62.73,1.09,22.77,27.46
000878.SZ,云南铜业,铜,10,2414667.49,42.67,2.86,6.73,5.08,6.86,57.14,-24.98
000630.SZ,铜陵有色,铜,10,2358435.73,31.39,1.28,4.08,4.42,9.9,-5.15,-9.23
600022.SH,山东钢铁,普钢,22,1484971.59,21.5,0.73,3.33,5.96,8.36,24.09,-40.19
